group,test_index,label,predicted,prob_positive,n_words,length_bucket,has_negation,has_but,has_exclamation,text
confident_false_positive,589,0,1,0.5655054450035095,215,long,1,1,0,"I love a good steak and have no problem paying for one, but Prime's is not worth the price. We had two different cuts, the porterhouse and the dry-aged bone-in ribeye. The quality of the steak might have been there, but the preparation of it threw the whole thing off. However, I did really like the sauce that accompanied the steaks, so much so that we requested some in leftover box. We had truffle mashed potatoes that were divine (but honestly, it's truffle so how bad could it be?) but the glazed carrots were tangy, which I did not like at all. As for the appetizers, we shared the Caesar salad which was fabulous. The presentation was unique in that it was a whole head of romaine lettuce (I'll post a picture).\n\nService was confusing to say the least. Our server was very nice and friendly, but very condescending. Maybe it was because we look young, but when we asked a question about the mushrooms he became very patronizing towards us. The same when we wanted coffee. It was very odd. We also waited a long time for little things like the coffee, bread, butter, etc. They didn't even bring bread until we asked for it.\n\nI much prefer returning to Craftsteak on the Strip."
confident_false_positive,1240,0,1,0.5639542937278748,16,short,0,1,0,"Love the clothes, but refuse to shop there due to the horribly snotty service I receive...."
confident_false_positive,1557,0,1,0.5630281567573547,276,long,1,1,0,"It is obvious this person had her friend write reviews.  It is also obvious that Nicole had to rest up a whole new name and business because the service was so poor from the last one she attempted to run.  FYI check out Healthy Skin Boutique in Yelp.  Same person so you can expect the same poor performance.\n\nI speak from experience - months of trying to get service on something that was already paid for.  BUYER be WARNED - if you purchase something through Living Social or Amazon Social you will have lost your money and/or your sanity dealing with this unprofessional business owner.  DO  NOT waist your time and DO NOT loose your money.  The person is very experienced in delaying your appointment until after the refund time expires.\n\nDuring the months, YES MONTHS I tried to make appointment to only have them postponed with unfulfilled promises of callbacks and reschedules.  Yes I was given a lot of excuses that at first I believed, like I said, Nicole is very experienced with many sad stories about why and how she can accept your money but can not perform the service for month and month and can not return calls when promised.  \n\nIf I was the only person that had a poor experience with this business and this person I would just forget about the $120 I was scammed out of but when I called Living Social the customer serve person expressed the idea there were a lot of complaints.  Also - tracking the business movements shows multiple failed and closed websites, business names, etc.  \n\nTake my advice - RUN FAR RUN FAST from Nicole."
confident_false_positive,222,0,1,0.5622951984405518,35,short,1,0,0,"I was really unimpressed. My boyfriend and I went in wanting pad thai like we are used to finding at other restaurants. What we got was expensive, not anything special, and a small portion size."
confident_false_positive,1758,0,1,0.5597805380821228,303,long,1,1,1,"What a great addition to the neighboorhood!  A great covered patio with games, live music, great food and a central location.\n\nI had the opportunity to visit the Yard twice in the same day.  And the experiences were night and day.  Come to think of it, those are the 2 times I was there...once for lunch and then later to meet up with friends for drinks and music.\n\nThe lunch scene was not idea.  Service was a little spotty - we did have to ask for things a couple of times.  But also the noise level was completely unbearable.  When my mom complained about it on her visit, I thought that was just her age talking (imagine a cranky lady shaking her fist at the kiddos - \""""turn that loud mess off\"""").  \n\nWith the busy street on one side and live band that answered back with a higher volume, sound waves bounced chaotically off every inche of the patio - the place is nothing but hard surfaces.  I was literally screaming at my lunch companion as well as the waitress.  I was also in a volume battle with the noisy kids seated just a foot away from us.  Oh yes, there are children there too.\n\nAs I left, with a sore throat and ringing in my ears, I decided this was not a place to return.  However, when friends picked the yard later that night, I realized that wouldn't last.\n\nAnd it was still loud.  But that seems more acceptable when it is after 10pm...however, I was struggling to continue to yell at my companions and listen carefully with my ear in their face to hear them.\n\nSo that was my major take away from my 6 hours at the Yard.  Loud.  In fact, I can still hear it ringing in my ears."
confident_false_negative,183,1,0,0.43052908778190613,277,long,1,1,0,"Oh my lord- East coast Jewish delis are amazing, and this place can holds its own with the best of them. As soon as I saw the menu here, I started (favorably) comparing it to Miller's on Polk Street in SF, where I first had matzo ball soup.\n\nThe soup here, which we started with, is just as legit. And the portions are just as huge, too- the one pictured is a cup. It could easily be a lunch, and is served with a couple of tasty-ass bagel chips too. Rye flavor, natch.\n\nBF opted for one of the most expensive (and largest) sandwiches ever, the JR Boucher, which is a triple-layer with pastrami and liver. Yeah, that didn't sound tasty to me at all, and it's $18. But we got it, and it's frickin' delicious: all the components work so well together, they harmonize like a choir of angels. Oh and one sandwich is easily like three meals. We shared it and still had half for dinner.\n\nAnd, because I'm a total glutton and never on this side of town, I had to get my own dish, too. I got the Ceily's stack- latkes stuffed with brisket, topped with two types of cheese and brown gravy. It's even more amazing than it sounds, priced at $12, and is also easily split into thirds. Just finished my order for lunch today.\n\nWith two heavy take-out boxes in hand, we rolled ourselves out the door... And promptly axed any plans of looking for a rental property in Henderson, because I don't want to weigh 400 pounds and if this place were nearby, that might be a serious possibility."
confident_false_negative,1305,1,0,0.4334491491317749,18,short,1,0,0,"This is an outstanding place. From the menu to the exceptional customer service, you will not be disappointed."
confident_false_negative,1192,1,0,0.4339328706264496,138,medium,1,1,1,Okay..this place is my new favorite Pho place in town!..might be little bit pricey than other pho place but it is WORTH it!\nI love their Spring Roll and Pork Roll...\nOMG!!! You have to try it! I was very happy that I found this place!\nI heard that they have restaurant in Cali too..\nWell...even I can't never finish my soup in other place...I finish mine in this restaurant..because can't stop eating..broth is really good and noodle is perfect too!\nI've been there already twice in this week..brought some friends there from Cali..They love this place too.\nIf I'm going to pay 1 or 2 dollars more for this soup..I think it is really worth it to go there.\nThey even have S M L size for Pho and They give you 3 spring Rolls..\nReally Fresh!!!:)
confident_false_negative,1760,1,0,0.4391132891178131,22,short,1,1,0,"I'm usually not a fan of chain restaurants, but if you're going to go with one, this might as well be it."
confident_false_negative,634,1,0,0.444010466337204,50,medium,0,0,0,"LGO was fantastic.  Great food, great staff, and an outstanding storefront with the best English Muffins I have ever tasted.  I have dined in twice; however, and found the service to be a little on the slow side.  Also, with regard to crowding and poor parking, LGO suffers from both."
near_threshold,809,1,0,0.49998289346694946,92,medium,0,1,0,"The food is always hot and made fresh. I prefer the atomic or hot boneless wings with ranch. This may sound odd but their ranch is really good too lol The boss there is really nice and friendly. He is the one that makes the tea everyday too...which reminds me a lot of southern sweet tea, which I have with lemon. They have a lot of soda to choose from as well. The place has a family style atmosphere so I would recommend this place to all my friends and co workers."
near_threshold,1914,0,1,0.5000260472297668,174,long,1,1,1,"If I can rate SLS Las Vegas Hotel -100 Stars I would!!!!!! The room are so so tiny, the floor is dusty, stains everywhere, on towels, bed sheet, table, and couch... Both bed side lights had no light bulb, lol yes, no light bulb in there! I was so excited to stay here because I had amazing time at the SLS Beverly Hills. However,  after I checked in this so call brand new renovated hotel, I feel so uncomfortable to stay because our room is beyond dirty, dusty and unfinished. I will never come back for SLS LV because you paid for a brand new hottest Las Vegas hotel cost, but only got local motel status! Everything was outdated... \n\nFYI I stayed at the Lux tower king suit, avg. $220 per night after taxes plus resort fees. I tried to upgrade to a SLS king suite, they said it's $700 per night, please see my pictures, the $700 Suite doesn't have light bulb either. So, needless to say, SLS Las Vegas, What a shame..."
near_threshold,1424,1,0,0.4998902380466461,45,short,1,0,1,"Just arrived from the overnight train, arrived at Edinburgh Larder with our 3 suitcase and two tired children and the staff couldn't have been more welcoming.\nFood fabulous. Wholesome, nourishing, delicious & fresh. Tea/coffee great. Will be back and we're only in town 2 days!"
near_threshold,535,0,1,0.5001242756843567,167,long,1,1,0,"This place is old, dingy, and outdated. The guests were just as gross as the room I stayed in with a view of a heating unit and a roof. There was a guy actually sitting on the floor on one elevator ride I took. I think he mistook it for the New York New York roller coaster or something from the looks of it which was an oh so charming touch. Oh and the elevators don't work, an employee complained to me about it when I was there.  The time i spent there felt more like a college party gone bad than a vacation. Therefore  I made sure I spent all my time anywhere but this armpit of the Vegas strip. The bed was comfortable but that's the only credit I'll give this place. The room was cheap but I guess my stay here proved you get what you pay for. Next time I go to Vegas I'm not stepping foot near this bunghole of a place."
near_threshold,726,0,1,0.5001599192619324,457,long,1,1,0,"Went to Vegas for my birthday weekend planning to have a nice trip with family and friends. Everything was great up until this buffet. We went on Saturday for some breakfast which was okay. That experience gets four stars for great service and decent tasting breakfast foods. Today, Sunday, was an ebtirely different story. Wanted to top the weekend off with an awesome Luau themed buffet recommended by the awesome staff from yesterday only to be majorly disappointed. Excited, we waited in a two and a half hour line which was totally no big based on Saturday's great service and the awesome Hawaiian dishes we were about to experience. Then we get to the cashier who cashes out the first half of our party of five but snubs the second half without a basic \""""one moment please\"""" just turns around and processes someone else through (she knew we were a part of the same party, no excuses for a bad attitude and crap customer service). Hostess who sat us was wonderful all smiles. The second host who sat us was less than accompdating. As she was setting silverware I attempted to ask her about the champagne service for brunch because we were craving a couple of mimosas and knew the service would end soon. She blatantly ignored me to scurry off somewhere else. My friend caught her again after a few minutes and she merely told us the sever we had been waiting for to take our drinks would be right with us before scurrying away without waiting for a response. Which she probably knew would have been that our waiter hadn't come by our table in the twenty minutes we had been sitting there. Finally we catch a hold of a random guy serving a nearby table, Steve, and he's great totally takes our orders and even though its his first day he's doing a splendid job. Unfortunately, we are unable to get our mimosas because they stopped serving the champagne after 3:30. Twenty minutes after we were sat and ten minutes after we finally found a waiter to take our drink order. Normally, the sucky service would have just been shrugged off. But being told we didn't make it for the champagne when we did and had waited in a two and a half hour line partly for that service. Was going to leave only one star but Steve's awesomeness gets its own star. Conclusion: pretty good food but sh*t customer service on Sunday brunch days. Don't wait in line expecting the food to make up for bad customer service. Not worth the $20 to get in or the $13 with the players card. Would not come back here and will definitely not recommend it."
slice_specific[length_bucket=long],660,0,1,0.5588898658752441,169,long,1,1,1,"My husband had the steak sandwich and said it was good.  I tasted his garlic fries and they did,t have much flavor,but most of all were not real hot and not crispy,\nJust a kind of hardness.  Nothing to look at or tempt me to eat more.\nI had the Kobe burger and will never have another. It looked hard and dark and was not juicy at all.  Maybe a burger  really should have some fat or they don't know what they are\ndoing .  I never use ketchup, but had to drown this burger in it for some flavor.  Yuk!\nI so wish I would have sent it back, but our server was so nice.  This place is over priced and could take a lesson from Cheesecake Factory where everything is consistently GOOD.     Thank God we had a birthday coupon and got a break on the bill.  Free chocolate cake that was not moist except for the frosting.  Will never go back.    We don't care about the beer."
