group,test_index,label,predicted,prob_positive,n_words,length_bucket,has_negation,has_but,has_exclamation,text
confident_false_positive,3163,0,1,0.9999958276748657,18,short,0,0,0,What I love about Rubios' is that they always have beer. Always.\n\nThat is all I love though...
confident_false_positive,33516,0,1,0.999988317489624,6,short,0,0,0,This is definitely a ripoff company
confident_false_positive,29330,0,1,0.9999871253967285,27,short,0,0,1,"Wow love the place and everything is very clean and new!\n\nGreat place to come and relax worth a try!\n\nCheers,\n\nEric Van Nguyen\nVisited April 2012"
confident_false_positive,23566,0,1,0.99994957447052,5,short,0,0,0,"fast,  a little toooo fast"
confident_false_positive,12480,0,1,0.9998917579650879,28,short,0,1,1,"my husband had an omelette that was good. i had a blt, a little on the small side for $10, but bacon was great. Our server was awesome!"
confident_false_negative,16998,1,0,3.471004674793221e-06,12,short,0,0,0,"alright now, poetry, wtf?  WHEN WHEN WHEN WHEN are you gonna reopen?"
confident_false_negative,1131,1,0,4.252449798514135e-05,6,short,0,0,1,The margaritas wont do ya dirty!
confident_false_negative,22707,1,0,0.00016257014067377895,15,short,0,1,0,"Its a nice buffet looking over the Aria pool, but variety was just ok.... Meh.."
confident_false_negative,6520,1,0,0.0002924621512647718,44,short,1,1,0,"its an enjoyable atmosphere for all 21+\n(: The beer is Delicious and so is the food - However I unfortunately, can not say the same about the HELP.The service was terrible the waitress were rude not only  to us but to each other...."
confident_false_negative,30569,1,0,0.00031840120209380984,15,short,1,0,0,"Cheap drinks, arcade games and corn hole. Nothing fancy, nothing pretentious. You could do worse."
near_threshold,21994,1,0,0.49992871284484863,370,long,1,1,0,"Last night  I craved Indian food and logged on to Yelp for help. My very favorite place is 18 miles away and I wanted something nearby.  I found Tandoori Times and arrived there at 8PM.  I couldn't believe that at 8PM there were 10 people ahead of us waiting for a table. \"""" A good sign \""""I thought or \""""poor management that can't handle a crowd?\""""  Someone who appeared to be the owner was busy working to see that everyone got a table quickly.  We got a table in 10 minutes in a small room they have in the rear of the restaurant.  Within 5 minutes we got a waitress and placed our order.  She brought us condiments (a red spicy sauce, coriander chili sauce and a spicy sauce made with marinated ginger bits.   No papadums.  Most restaurants give you papadums.  We missed them.  My order of Chicken Vindaloo was absolutely delightful spiced just as I requested HOT.  Our double order of bread came hot and delish(we don't eat rice).  My husband's Lamb Tikka was generous and nicely done.  During our meal, the belly dancer started her act.  This meant that the loud music would soon begin.  AND I MEAN LOUD.  I don't know if it was that we were in that small room, but my eardrums were about to burst.  There was no relief until we ended our meal.  The belly dancer could not be seen from our room so we stood up to peek at what was going on.  It was an attractive young lady, dressing in belly dancing garb dancing to Indian pop music.  Not really belly dancing.  (I've done belly dancing myself.)  Next, dessert.  I ordered the Kheer.  It was absolutely amazing.  It was creamy with sliced almonds and raisins.  Probably one of the best I've had anywhere.  \nI gave Tandoori Times 4 stars because the music was too loud and it kind of spoiled the experience for us.  Other than that the food is really authentic and delicious.  I hope that the management will consider toning down the music at least for the poor people in the back room.  I would never accept a seat in that room when I return.  AND, I will return."
