category,test_index,true,pred,p_positive,slices,text,error_type,proposed_fix
confident_false_positive,29330,0,1,1.0,short (<= 50 words),"Wow love the place and everything is very clean and new!  Great place to come and relax worth a try!  Cheers,  Eric Van Nguyen Visited April 2012",,
confident_false_positive,27375,0,1,0.9998,medium (51-149); contains negation,"We had dinner here for four. Had an artichoke appetizer with pita chips, club sandwich and shared a huge sundae for dessert. The service was awesome; space impressive. But, I have to say that when a gem from NYC gets transported to Vegas, and gets \""""blown up\"""" into Vegas standards with all the glam, size, \""""in your face\"""", and over-the-top stuff that makes Vegas what it is, that NYC gem looses something and just isn't the same.   We were looking to be awed by this chocolate place and weren't. Maybe we should have ordered some chocolate pieces?",,
confident_false_positive,18122,0,1,0.9998,medium (51-149); contains negation,"20 years for me and sad to see them go.  Sadder still to see a great traditional Japanese sushi restaurant end, and not carry on the tradition.  We would go here for consistently great fresh fish and great service.  They have also trained many young sushi chefs through the years here in Phoenix.  Great Japanese food isn't about fancy rolls and combinations, but about great fresh ingredients.  END OF AN ERA.  I agree.",,
confident_false_positive,1912,0,1,0.9996,long (>= 150 words); contains negation,"The food is a tad better than okay. The service is somewhat mixed, it depends who you get for the evening. Some are more motivated than others. The manager, Summer :-), is awesome. Ask her if you need anything or have tips for her to inspire you to come again. If I do a food business, I will  We love the free wifi. A must for any locale these days. The bear is GREAT. Love the micro brews.   A note in general: somebody get a grip on the fish prices in Arizona please. The only healthy omega3 and protein source we all need, instead, yes yummy but unhealthy quesadillas are cheap. Something's wrong here. Most locations throughout the valley still don't take enough advantage of the promotional built in coupons Yelp has to offer to attract new and keep old customers.  The five different music styles running non stop in the desert ridge outside area mixed with every store's individual out put is nerve wrecking.  A few big plants and bushes along the iron fence would create a more natural and soothing setting. Atmosphere is half the rent.",,
confident_false_positive,17756,0,1,0.9989,medium (51-149); contains negation,"I've heard amazing reviews about this place so I tried it out for a gel manicure. The place is very trendy and I absolutely love how it is decorated. I was brought to a shelve with a ton of gel it's to choose from.. So that was cool. The lady who did my nails was friendly enough. The gel manicure itself wasn't done well at all. You could see through my nails and on the sides which I didn't realize until I got home. It was a little pricey as well. I'm sure ill be back, especially to try their pedicure. But I can find better service and product for cheaper when it comes to a gel maniure",,
confident_false_negative,6520,1,0,0.0001,short (<= 50 words); contains negation,"its an enjoyable atmosphere for all 21+ (: The beer is Delicious and so is the food - However I unfortunately, can not say the same about the HELP.The service was terrible the waitress were rude not only  to us but to each other....",,
confident_false_negative,24111,1,0,0.0001,medium (51-149); contains negation,"This review is for the pharmacy only.You do not need to be a member to use the pharmacy. I am a self paying user of generic Plavix...Cost for a 90 day supply is around is about $25. Contrast this to $45 at Walmart,and $200+ at both Target and Shopko. Price difference is unbelievable!! Begs the question of what price are health insurance carriers forced to pay!?? No wonder premiums are high should they be charged the 200-220 prices. It does pay to shop for prices..",,
confident_false_negative,14289,1,0,0.0002,medium (51-149); contains negation,"Pizza is great. However, the service is not. Called for delivery. When we were on hold for 15 minutes, we tried calling on a second cell phone. They immediately picked up and asked if we could hold. I said no, but they had already put me on hold. We finally hung up both cell phones when the wait time hit 25 minutes.  UPDATE: This hasn't happened since, and service has improved drastically. Kudos to the owner and management team. Pizza continues to please!",,
confident_false_negative,21215,1,0,0.0002,long (>= 150 words); contains negation,"Last night several parents came in with over 15 children to celebrate their 9 year olds 4th grade graduation at 9:15 pm. The bartender expressed that it was not a place to have children running around as it is against the law and a liability issue if anything were to happen to them on their premise. The children were running in and out of the bar while the parents continued to drink upstairs claiming to watch them in the open park way. After their third round of drinks the bartender told them they were no longer welcomed due to the fact the kids were unsupervised as well as the other customers had cleared out expressing \""""whether the bar was a childcare center\"""". One father even started swearing at her telling her it was none of her business what their children were doing. I am offended in that they completely took advantage of her, were rude, not to mention had their children with them at a bar at 10:00pm in the evening. I will say the bartender was very cordial and had mind to do the right thing.",,
confident_false_negative,30793,1,0,0.0006,medium (51-149); contains negation,"This place is so much better since they changed owners.  My wife and I went when it was the old owners, it was terrible.  We waited forever and the food never came before we walked out.  People were served before us that walked in after and my wife actually got her soup before me and I sat and waited while they \""""made more\"""".  It was horrible.  Now its much better.  The staff are very friendly, they treat their customers very well and I have nothing but positive things to now say about this place.  Its much better with the new owners.",,
near_threshold,191,0,1,0.5006,long (>= 150 words); contains negation,"I surmised two things from my visit to Thai Cuisine:  a) the competition among thai restaurants must not be very stiff in this town  b) yinzers wouldn't know good thai food if it flew into their open mouths  This place was horrible. My fried trout was just a battered butterflied fish not much different from what you'd find at a church fish-fry. Insipid, over-battered and generally unpleasant. My dining partner's masaman curry was so sickly sweet it tasted like melted coconut ice cream. Surprisingly, the joint was slammed.   On the bright side, service was very fast. On the downside, our waitress was definitely stressed out and cranky possibly from waiting on the 14-top of inebriated co-eds across the room from us.  The takeaway: If you're from Pittsburgh, you'll probably love this place -- it was packed with your kinsmen when I was there. But if you've enjoyed quality thai food in any large coastal metropolis, steer clear.  p.s. food was needlessly pricey given the poor quality.",,
near_threshold,1328,0,1,0.5006,long (>= 150 words); contains negation,"Just to entertain myself I stopped in this Ross to compare it to my favorite Ross location (Sunnyslope/Dunlap store) Just as I expected it was total bootleg up in this location. Man the place was jacked! It's larger and you find a few more or different items as a result. The prices are the same as the other location on items that both have stocked. But this place looked like it had been hit by a plane. Broken stuff, stuff on the floor, stuff falling off hangers, stuff in the wrong departments and wrong shelves. Tables in complete disarray! Bedding and pillows on the floor. Lines...OMG! What long lines!  The couple of items that interest me that I spotted I passed on rather than wait in these long lines. No staff on the floor offering help. One poor staff person was putting out artwork and avoiding all contact with customers. Can't say I blame her because the customers were shouting for and at their unruly children and crying babies at decibels uncalled for. I think this clerk just wanted to disappear. So when I saw items of interest without a price I just respected her by not asking for help and leaving the items where I found them.  The odd thing is 3 hours before I had just shopped my favorite location where all was calm, organized and with short quick moving lines! So glad there are other locations of Ross stores near by offering the same great deals.",,
near_threshold,20716,0,1,0.5007,long (>= 150 words); contains negation,"To be fair, the first time that I went to The Mission a couple of months ago, it was a 3-star experience.  The food was well prepared and nicely presented.  It could have been 4-stars, but the tacos were sadly small for the price.  Last week's experience was a real let down.  I took my family for a Latin dining experience and was sadly disappointed.  Being an arepa lover, I was excited to partake in the experience with my loved ones.  When we arrived, we were told that arepas were no longer part of the menu, although they were still on the menu :-(  They are now serving the sandwiches that were served on arepas, on the torta bread.  The server was apologetic, but frankly, after driving 40 miles to get this specific menu item and checking the on-line menu before making the trip, I was not happy.  The pabellon filling was very good, but again, a let down without the arepa.  To add insult to injury, when the sandwiches were served, they did not bring Mission fries on the plate, because according to the bus boy, the menu changed when the sandwich was no longer served on the arepa, and it no longer was served with the fries.  The server quickly righted this issue and offered us fries on the house.  There are some high points to the experience: the setting is very pretty and the service is attentive.  The chorizo and papas appetizer is delicious and something worth ordering when you go.",,
near_threshold,25623,0,1,0.5008,medium (51-149); contains negation,"Walmart makes me cringe. Not only for all kinds of political, humanitarian, equality, and justice reasons. But also because every venture near one is just straight up cringe-worthy. The food on the floor. The messes on the shelves. The customers. The long lines at checkout that move at a snail's pace. The staff with that vacant look in their eyes. The managers that just don't care. It's all a hot mess.  But... Walmart is my go-to place for filling prescriptions when I am without health insurance. The pharmacy staff have always been pleasant and efficient. And the out-of-pocket costs are dirt cheap. Dirt cheap.",,
near_threshold,19043,0,1,0.5012,short (<= 50 words); contains negation,Fast no wait seating on a Saturday night ...but be prepared to pay for substandard food!,,
slice: truncated (> 256 tokens),21813,1,0,0.0033,long (>= 150 words); contains negation; truncated (> 256 tokens),"Our flight arrived to Vegas earlier than excepted, so we expected our room not to be ready. When we arrived at the hotel on May 19th, the front desk girl offered us a room that was ready on the 28th floor that wasn't facing the Bellagio fountain. I booked a corner view suite had requested a room on a high floor with a Bellagio fountain view when I first made the reservation. There are 56 floors at the hotel. She then said there was a room on the 30th floor with a view of the Bellagio fountain, but it wasn't ready. She continued to look for rooms, which she then said that there was a room on the 50th room with a Bellagio fountain view, but it wasn't ready yet either. We agreed to wait for that room to be cleaned, which she said it would be couple of hours before it would be ready. We waited a couple of hours by walking around the area before calling to check to see if the room was ready yet. I was transferred to housekeeping, who said it wasn't ready yet and they would call me back when it was. After eating and walking around some more for a couple more hours without hearing back from anyone, we decided to go back to the hotel and was told that the room was ready. It would of been nice if they had called me as they told me they would  Upon inspecting the room, we found a dirty fork and knife in the dishwasher, as well as trash in a trash can underneath the kitchen sink. When housekeeping called to see if the utensils were delivered, which I requested upon check-in and had been delivered, I told them about the trash and dirty utensils. They said they would send someone up to take care of it. No one ever showed up, so the trash and dirty utensils were left until the next day when housekeeping came to clean the room. The room did have a great view of the fountain, strip, and mountains!!!  On the evening of Thursday May 20th, I called concierge to attempt to change reservation time for dinner at Jean Georges Steakhouse at Aria. I held on the phone for 30 mins waiting for someone to answer, but no one ever did, so I hung up and decided to call the restaurant directly myself.   The hotel is a nice hotel, which unlike some other reviewers, I feel that it IS within a short walk to the Bellagio, Aria, The Cosmopolitan, and the strip. I would suggest going to the 24hr CVS, which is a short walk and is located a block south of CityCenter on the strip to grab snacks and drinks, since the market inside the hotel has limited choices and closes at a certain time.  The Clark County fire station is located adjacent to the property. They tend to stay busy, which on one of the late nights/early morning hours, they seemed to respond to several calls in a span of 4 to 5 hours. The windows are not sound proof, so you will hear the sirens, which may interrupt your sleep if you're a light sleeper.  The entire property is nice, which I would stay there again, especially with it being a non-smoking/non-gaming hotel.",,
slice: truncated (> 256 tokens),9477,1,0,0.0063,long (>= 150 words); contains negation; truncated (> 256 tokens),"Before getting started, I'd like to point out that I am currently sitting in the Palms Casino, while watching my degenerate, gambleholic, asshole-of-a-friend Pete grab his ankles, as the craps table continues to sodomize his life savings. The Palms Casino may as well be a priest, and with each roll of the dice, my man Pete is looking more and more like an alter boy. An alter boy with an ugly hat. As I look at this hat, I noticed a consistent theme. This hat of his will soon be joined by his pockets, as they both prevent the world from seeing what lies beneath -- nothing. What was once there, is now missing, and it isn't pretty. Nor was it smart. With just seven strands of hair, Pete has a face incapable of pulling off the 7-Strand comb-over. So money, combined with the freedom offered in Vegas to dive head-first into a hooker, was Pete's only hope to hump. Don't get me wrong, P never planned on returning to Phoenix with any money, which was fine, because that meant he wasn't bringing back his virginity either. Well, unless you count being molested by this casino.   Let me start over. When I began writing this review, I was writing it for the Palms Place resort. I was only using my 6am-and-still-in-the-casino story to explain my exhaustion, and use it as a warning before transitioning into my review of our actual suite. However, as I continued to ramble, I realized that this has enough gems to be a review of its own. So let's jump back in.   With dick and pockets both dry, P refused to walk away from the action. But unlike his hair, my boredom started to grow, and soon left me balls deep in a conversation with some random Israeli gentleman who started our conversation by asking me if I gamble. It must have been the way I said, \""""Nope, never. Not at all,\"""" that convinced him I was interested in spending the next 30-minutes listening to him break down his formula for an 80% winning-percentage in roulette.   Like all roulette conversations, this one also was followed up by literally dozens of questions on everything from Foreign Policy to soccer. I was pumped. Luckily, I was saved by irony. About midway through my optimistic response to the problem with America's public education system, I was interrupted by quite possibly the drunkest bitch I have ever seen. Clearly lacking intelligence, and a functioning metabolism, I couldn't deny her originality. Instead of some corny and cliche pickup line, this barefoot bitch thought outside of the box, and just spilled her drink on me. Luckily, it was about 7am, so of course she was double-fisting, enabling my shirt to get shit-faced. Before she could say a word, I stood, shook my man's hand, and announced that I had to go because I think my shirt had too much to drink and it needed to sober up. I think I confused her. Which made sense, because I don't even think she knew that she was carrying two drinks, let alone spilling them. I like to think that she stuck around and finished answering my new Israeli friend's question on education, which eventually led to her sitting on his trapper keeper (if you know what I'm saying), but who knows. Love is blind. As for me, I walked about twenty yards back to the table, just in time to see my buddy P go broke. It was perfect.",,
slice: truncated (> 256 tokens),20061,1,0,0.0072,long (>= 150 words); contains negation; truncated (> 256 tokens),"Ever wonder what to do if you have lots of extra garbage or recyclables and either can't fit them all in your bins or missed bulk trash pickup day? Alternatively, are you looking for something just a little bit different to do on a lazy summer day?   Ok, ok, all kidding aside - you may find yourselves (as we did yesterday) with more broken-down boxes and odd-shaped trash (old floor lamps, etc.) than can fit in your bins. This waste facility allows Phoenix residents to dump bulk trash and recyclables for free once a month.   To get to the facility, drive down to 27th Avenue and Buckeye (aka \""""No Man's Land\""""). When you drive up, you will likely see a long line of commercial vehicles waiting to do their daily or weekly dump. You can bypass this line and go to the R (the sign says something like \""""Visitors\""""). When I say \""""you can,\"""" what I mean is that we did without being stopped, so you should be able to as well. According to the city website, we were supposed to have to show a driver's license and recent water bill to be let in, but no one stopped us or asked for proof of anything.   We drove around and around the facility, following signs that directed us to the visitors' drop-off area, until finally we arrived at a massive pile of garbage. Literally. There were tons of guys in pick-up trucks dumping yard clippings, as well as a few ordinary people, like us, who just wanted their garage to be less cluttered. Warning to the wise - the place stinks (it's filled with garbage, after all) and the ground is wet and a bit slippery. We wore flip-flops (how dumb were we?). If you go, you might want to wear a long-sleeved shirt and some old, crappy tennis shoes you don't give a crap about.   After dumping our trash, we looked around for the recycling drop-off. Some random employee sitting out under an umbrella told us that the bins were full and that we should just dump our massive pile of cardboard boxes into the trash pile (real ringing endorsement for city-sponsored recycling, huh?). I told him that we didn't want to just trash all that recyclable material, so he suggested going over by the employee trailers and dumping it in their recycling bin. So we did.   I have to admit that after coming all the way to a city facility dedicated to proper recycling, we felt a bit odd dumping all these boxes in a tiny bin that wasn't much bigger than our bin at home. We felt as if we had gone to a public swimming pool and found it to be the same size as our inflatable one. We also wondered if the boxes would even get recycled. Fortunately, a guy in a city truck showed up towards the end of our unloading, gave us the thumbs up, and waited for us to be done so he could unload the bin and take the materials to wherever recyclables go to die and be reborn as new, environmentally-friendly objects.   Our trip to this facility was an adventure, that's for sure. In addition to (or in spite of?) the educational benefits of seeing the inner workings of the city's solid waste operations and the entertainment value of all of those unfamiliar sights, sounds, and smells, we got to rid ourselves of the massive piles of trash and boxes left over from our move and early home improvement projects in one fell swoop. Can't beat that!",,
